w,Atributo / Campo,Tipo de Dado,Restrições,Regra de Negócio / Tratamento,Ciclo de Vida do Dado
Paciente,nome_paciente,Texto,"Não nulo, Único",Obrigatório conforme documento,Inserção (Create)
Paciente,idade_paciente,Inteiro,Não nulo,Mínimo 16 e máximo 69 anos,Atualização (Update)
Paciente,endereco_paciente,Texto,Não nulo,Localização residencial do doador,Atualização (Update)
Paciente,data_nascimento_paciente,Data,Não nulo,Utilizado para calcular idade,Inserção (Create)
Paciente,tipo_sanguineo_paciente,Texto,Não nulo,Definido após triagem/exames,Atualização (Update)
Paciente,fator_rh_paciente,Texto,Não nulo,Definido após triagem/exames,Atualização (Update)
Paciente,id_paciente,Inteiro,"Não nulo, Chave primária (PK)",Identificador único do sistema,Inserção (Create)
Paciente,cpf_paciente,Texto,Único,Chave de validação única ,Inserção (Create)
Paciente,telefone_paciente,Texto,Não nulo,Contato para convocações,Atualização (Update)
Paciente,sexo_paciente,Texto,Não nulo,Valida frequência de doação,Inserção (Create)
Paciente,numero_carteirinha_convenio,Texto,Nulo,Informado apenas se possuir convênio,Atualização (Update)
Paciente,nome_convenio,Texto,Nulo,Obrigatório somente quando houver convênio,Atualização (Update)
Paciente,numero_carteira_sus,Texto,Único,Identicador do cartão SUS                                                                                                                                    ,Inserção (Create)
Paciente ,email_paciente,Texto,"Nulo, Único",Registra o paciente no cadastro,"Inserção (Create), Atualização (Update)"
Paciente,peso_paciente ,Decimal,Não nulo,Verifica as condições necessárias para a doação,"Inserção (Create), Consulta (Read), Atualização (Update)"
Paciente,data_ultima_doacao,Data/Hora,Nulo,Utilizado para verificar quando foi realisada a última doação,"Inserção (Create), Consulta (Read), Atualização (Update)"
Hemocentro,nome_instituicao,Texto,"Não nulo, Chave primária (PK)",Identifica o Hemocentro,"Inserção (Create), Consulta (Read), Atualização (Update)"
Hemocentro,cnpj_hemocentro,Texto,"Não nulo, Único, Chave primária (PK)",Identifica o Hemocentro de forma única,"Inserção (Create), Consulta (Read)"
Hemocentro,endereco_hemocentro,Texto,"Não nulo, Chave primária (PK)",Localização do Hemocentro,"Inserção (Create), Consulta (Read), Atualização (Update)"
Hemocentro,horario_atendimento,Hora,"Não nulo, Chave primária (PK)",Define o horário de atendimento para doações,"Inserção (Create), Consulta (Read), Atualização (Update)"
Hemocentro,telefone_hemocentro,Texto,"Não nulo, Chave primária (PK)",Telefone para contato com o hemocentro,"Inserção (Create), Consulta (Read), Atualização (Update)"
Hemocentro,id_hemocentro,Inteiro,"Não nulo, Chave primária (PK)",Identificador único do hemocentro,"Inserção (Create), Consulta (Read)"
Estoque de sangue,id_estoque,Inteiro,"Não nulo, Chave primária (PK)",Identificador único do estoque,"Inserção (Create), Consulta (Read)"
Estoque de sangue,id_hemocentro,Inteiro,"Chave estrangeira (FK), Não nulo",Relaciona o estoque ao hemocentro,"Inserção (Create), Consulta (Read)"
Estoque de sangue,tipo_sanguineo,Texto,Não nulo,Identifica o tipo sanguíneo armazenado,"Inserção (Create), Consulta (Read), Atualização (Update)"
Estoque de sangue,quantidade_bolsas,Inteiro,Não nulo,Registra a quantidade de bolsas disponíveis,"Inserção (Create), Consulta (Read), Atualização (Update)"
Estoque de sangue,nivel_alerta_estoque,Booleano,Não nulo,Indica se o estoque está abaixo do nível mínimo,"Consulta (Read), Atualização (Update)"
Campanha,id_solicitacao,Inteiro,"Não nulo, Chave primária (PK)",Identificador único da campanha,"Inserção (Create), Consulta (Read)"
Campanha,id_hemocentro,Inteiro,"Chave estrangeira (FK), Não nulo",Identifica o hemocentro responsável pela campanha,"Inserção (Create), Consulta (Read)"
Campanha,tipo_sanguineo_necessario,Texto,Não nulo,Define o tipo sanguíneo necessário para a campanha,"Inserção (Create), Consulta (Read), Atualização (Update)"
Campanha,meta_bolsas,Inteiro,Não nulo,Define a quantidade de bolsas desejadas,"Inserção (Create), Consulta (Read), Atualização (Update)"
Campanha,bolsas_recebidas,Inteiro,Não nulo,Registra a quantidade de bolsas recebidas,"Inserção (Create), Consulta (Read), Atualização (Update)"
